"year","election_type","electoral_rule","district","district_code","district_name","chinese_name","station_code","chinese_name_poll_station","name_poll_station","ps_gmaps_coords","lat","lon","candidate_name_eng_1","political_ideo_1","votes_candidate_1","political_affiliations_english_1","candidate_name_eng_2","political_ideo_2","votes_candidate_2","political_affiliations_english_2","candidate_name_eng_3","political_ideo_3","votes_candidate_3","political_affiliations_english_3","candidate_name_eng_4","political_ideo_4","votes_candidate_4","political_affiliations_english_4","candidate_name_eng_5","political_ideo_5","votes_candidate_5","political_affiliations_english_5","candidate_name_eng_6","political_ideo_6","votes_candidate_6","political_affiliations_english_6"
2011,"District Council Election","first-past-the-post","Central & Western District","A09","Belcher","寶翠","A0901","聖雅各福群會寶翠園幼兒中心","St. James' Settlement Belcher Kindergarten Child Care Centre","22.2853242, 114.1339539",22.2853242,114.1339539,"LAM WAI WING MALCOLM","pro-establishment",1968,"THE HONG KONG ISLAND FEDERATION","WONG KA LOK WILLIAM","pro-democracy",201,"POWER VOTES; PEOPLE POWER","YEUNG SUI YIN","pro-democracy",1935,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A10","Shek Tong Tsui","石塘咀","A1001","石塘咀體育館","Shek Tong Tsui Sports Centre","22.2855473, 114.136225",22.2855473,114.136225,"CHING MING TAT","pro-democracy",705,"INDEPENDENT (pro-democracy)","CHAN CHOI HI","pro-establishment",1871,"NEW CENTURY FORUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A11","Sai Ying Pun","西營盤","A1101","中西區及離島區社會保障辦事處","Central and Western/ Islands Social Security Field Unit","22.2877632, 114.1416827",22.2877632,114.1416827,"YUEN MAN HO","pro-democracy",189,"POWER VOTES; PEOPLE POWER","LO YEE HANG","pro-establishment",1875,"DAB","YONG CHAK CHEONG","pro-democracy",711,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A12","Sheung Wan","上環","A1201","上環郵政局","Sheung Wan Post Office","22.286738, 114.1503068",22.286738,114.1503068,"YIM TAT MING","pro-democracy",270,"POWER VOTES; PEOPLE POWER","CHAN YIN HO","pro-establishment",910,"THE HONG KONG ISLAND FEDERATION","KAM NAI WAI","pro-democracy",1450,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A13","Tung Wah","東華","A1301","新會商會學校","San Wui Commercial Society School","22.2840272, 114.1488853",22.2840272,114.1488853,"HO CHUN KI FREDERICK","pro-democracy",623,"THE DEMOCRATIC PARTY","LEE SIU CHEONG","pro-democracy",71,"POWER VOTES; PEOPLE POWER","SIU KA YI","pro-establishment",619,"DAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A13","Tung Wah","東華","A1302","聖公會聖馬太小學","SKH St. Matthew's Primary School","22.285738, 114.14667",22.285738,114.14667,"HO CHUN KI FREDERICK","pro-democracy",284,"THE DEMOCRATIC PARTY","LEE SIU CHEONG","pro-democracy",54,"POWER VOTES; PEOPLE POWER","SIU KA YI","pro-establishment",549,"DAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A14","Centre Street","正街","A1401","基督教香港崇真會救恩堂及救恩學校","Tsung Tsin Mission of Hong Kong Kau Yan Church and Kau Yan School","22.285343, 114.140813",22.285343,114.140813,"WONG HO YIN","pro-democracy",1199,"LAND JUSTICE LEAGUE","LEE CHI HANG SIDNEY","pro-establishment",1739,"THE HONG KONG ISLAND FEDERATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A15","Water Street","水街","A1501","西營盤郵政局","Sai Ying Pun Post Office","22.2860545, 114.139865",22.2860545,114.139865,"YEUNG HOK MING","pro-establishment",1241,"DAB","WONG KIN SHING","pro-democracy",1353,"THE DEMOCRATIC PARTY","TAI CHEUK YIN LESLIE SPENCER",NA,463,"INDEPENDENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K01","Tak Wah","德華","K0101","雅麗珊社區中心","Princess Alexandra Community Centre","22.3716227, 114.1146724",22.3716227,114.1146724,"LO SIU KIT",NA,1863,"INDEPENDENT","LAI KING WAI","pro-democracy",639,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K02","Yeung Uk Road","楊屋道","K0201","荃灣天主教小學","Tsuen Wan Catholic Primary School","22.3691427, 114.1194857",22.3691427,114.1194857,"CHAN HAN PAN","pro-establishment",2246,"DAB","YIP SUI LUN","pro-democracy",703,"CIVIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K03","Hoi Bun","海濱","K0301","天主教石鐘山紀念小學","Shak Chung Shan Memorial Catholic Primary School","22.3637959, 114.1131396",22.3637959,114.1131396,"LEE WAI YEE","pro-democracy",1129,"PEOPLE POWER","CHENG PAK KEUNG",NA,1028,NA,"CHOW PING TIM",NA,2209,"INDEPENDENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K04","Clague Garden","祈德尊","K0401","寶安商會王少清中學","POCA Wong Siu Ching Secondary School","22.371201, 114.110242",22.371201,114.110242,"LAM KWONG YIU EDDY","pro-democracy",630,"PEOPLE POWER","CHAN KAM LAM","pro-establishment",2072,"DAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K05","Fuk Loi","福來","K0501","荃灣官立中學","Tsuen Wan Government Secondary School","22.3726257, 114.1135305",22.3726257,114.1135305,"MUI YEE LING","pro-democracy",869,"THE DEMOCRATIC PARTY","KOT SIU YUEN","pro-establishment",2511,"FTU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K06","Discovery Park","愉景","K0601","荃景圍體育館","Tsuen King Circuit Sports Centre","22.3776065, 114.1113547",22.3776065,114.1113547,"WONG YUI TAK LOUIS","pro-democracy",2002,"THE DEMOCRATIC PARTY","TIEN MICHAEL PUK SUN","pro-establishment",2256,"NEW PEOPLE'S PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K07","Tsuen Wan Centre","荃灣中心","K0701","柴灣角天主教小學","Chai Wan Kok Catholic Primary School","22.3780996, 114.1064656",22.3780996,114.1064656,"TSANG TAI","pro-establishment",1617,"DAB","LI HUNG POR","pro-democracy",1657,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K09","Lai To","麗濤","K0901","荃灣官立小學","Tsuen Wan Government Primary School","22.3718329, 114.1008764",22.3718329,114.1008764,"WONG WAI KIT","pro-establishment",4398,"INDEPENDENT (NEW TERRITORIES ASSOCIATION OF SOCIETIES)","KWOK CHI KIN EVEREST","pro-democracy",549,"PEOPLE POWER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K10","Lai Hing","麗興","K1001","香港浸信會聯會小學","Hong Kong Baptist Convention Primary School","22.3709464, 114.1004118",22.3709464,114.1004118,"LAM LAM NIXIE","pro-establishment",1466,"DAB","CHAN SO LING JACQUELINE","pro-democracy",714,"PEOPLE POWER","AU MING SZE","pro-establishment",660,"LIBERAL PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K10","Lai Hing","麗興","K1002","圓玄學院荃灣西長者鄰舍中心","The Yuen Yuen Institute Tsuen Wan West Elderly Neighbourhood Centre","22.3679622, 114.061264",22.3679622,114.061264,"LAM LAM NIXIE","pro-establishment",499,"DAB","CHAN SO LING JACQUELINE","pro-democracy",331,"PEOPLE POWER","AU MING SZE","pro-establishment",185,"LIBERAL PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K11","Tsuen Wan Rural West","荃灣郊區西","K1101","中華基督教會基慧小學 (馬灣)","CCC Kei Wai Primary School (Ma Wan)","22.3507043, 114.0598067",22.3507043,114.0598067,"TSENG WEN TIEN JUSTIN",NA,1678,"INDEPENDENT","WONG YOUNG MO LIN KATHERINE",NA,47,"INDEPENDENT","LEE MOSES","pro-establishment",635,"NEW PEOPLE'S PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K11","Tsuen Wan Rural West","荃灣郊區西","K1102","豪景花園商場1號舖","Shop 1, Hong Kong Garden Commercial Complex","22.3616157, 114.0430791",22.3616157,114.0430791,"TSENG WEN TIEN JUSTIN",NA,235,"INDEPENDENT","WONG YOUNG MO LIN KATHERINE",NA,163,"INDEPENDENT","LEE MOSES","pro-establishment",419,"NEW PEOPLE'S PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K13","Luk Yeung","綠楊","K1301","香港中華基督教青年會荃灣會所","Chinese YMCA of Hong Kong Tsuen Wan Centre","22.3738493, 114.1197827",22.3738493,114.1197827,"SO YIU KWAN","pro-democracy",805,"CIVIC PARTY","LAM FAAT KANG","pro-establishment",2481,"NEW TERRITORIES ASSOCIATION OF SOCIETIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K14","Lei Muk Shue East","梨木樹東","K1401","梨木樹社區會堂","Lei Muk Shue Community Hall","22.3790216, 114.1368614",22.3790216,114.1368614,"LUI DIK MING","pro-establishment",1484,"DAB","CHAN YUEN SUM SUMLY","pro-democracy",2497,"CIVIC PARTY","CHAU WAI YEE",NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K14","Lei Muk Shue East","梨木樹東","K1402","河背村村公所","Ho Pui Tsuen Village Office","22.371347, 114.126602",22.371347,114.126602,"LUI DIK MING","pro-establishment",355,"DAB","CHAN YUEN SUM SUMLY","pro-democracy",264,"CIVIC PARTY","CHAU WAI YEE",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K15","Lei Muk Shue West","梨木樹西","K1501","梨木樹天主教小學","Lei Muk Shue Catholic Primary School","22.37784, 114.1339377",22.37784,114.1339377,"WONG KA WA","pro-democracy",2260,"CIVIC PARTY","WONG TAK CHI","pro-establishment",1548,"FTU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K17","Cheung Shek","象石","K1701","荃灣信義學校","Tsuen Wan Lutheran School","22.3790285, 114.1314935",22.3790285,114.1314935,"CHOY TSZ MAN","pro-democracy",786,"THE DEMOCRATIC PARTY","CHAN CHUN CHUNG","pro-establishment",1031,"DAB","WONG CHI SHUN ADEN","pro-democracy",141,"PEOPLE POWER; Hong Kong Indigenous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tsuen Wan District","K17","Cheung Shek","象石","K1702","荃灣公立何傳耀紀念中學","Tsuen Wan Public Ho Chuen Yiu Memorial College","22.3759401, 114.1261613",22.3759401,114.1261613,"CHOY TSZ MAN","pro-democracy",795,"THE DEMOCRATIC PARTY","CHAN CHUN CHUNG","pro-establishment",737,"DAB","WONG CHI SHUN ADEN","pro-democracy",116,"PEOPLE POWER; Hong Kong Indigenous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L01","Tuen Mun Town Centre","屯門市中心","L0101","屯門大會堂展覽廳","Exhibition Gallery, Tuen Mun Town Hall","22.3917753, 113.9767599",22.3917753,113.9767599,"LAU KA LUN",NA,227,NA,"CHAN KA KIN","pro-democracy",481,"THE DEMOCRATIC PARTY","AU CHI YUEN","pro-establishment",694,"NEW TERRITORIES ASSOCIATION OF SOCIETIES","YEUNG MAN TAT","pro-establishment",375,"NEW PEOPLE'S PARTY",NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L01","Tuen Mun Town Centre","屯門市中心","L0102","仁愛堂胡忠長者地區中心","Yan Oi Tong Woo Chung District Elderly Community Centre","22.396577, 113.975824",22.396577,113.975824,"LAU KA LUN",NA,40,NA,"CHAN KA KIN","pro-democracy",109,"THE DEMOCRATIC PARTY","AU CHI YUEN","pro-establishment",205,"NEW TERRITORIES ASSOCIATION OF SOCIETIES","YEUNG MAN TAT","pro-establishment",83,"NEW PEOPLE'S PARTY",NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L02","Siu Chi","兆置","L0201","保良局香港道教聯合會圓玄小學","PLK HKTA Yuen Yuen Primary School","22.3866214, 113.9803177",22.3866214,113.9803177,"LAM CHUNG HOI","pro-democracy",2310,"THE DEMOCRATIC PARTY","WONG KA LEUNG",NA,264,NA,"LAW YIU CHUEN","pro-establishment",567,"NEW TERRITORIES ASSOCIATION OF SOCIETIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L02","Siu Chi","兆置","L0202","仁愛堂劉皇發夫人小學","Yan Oi Tong Madam Lau Wong Fat Primary School","22.3896689, 113.9772655",22.3896689,113.9772655,"LAM CHUNG HOI","pro-democracy",544,"THE DEMOCRATIC PARTY","WONG KA LEUNG",NA,50,NA,"LAW YIU CHUEN","pro-establishment",81,"NEW TERRITORIES ASSOCIATION OF SOCIETIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L03","Siu Tsui","兆翠","L0301","深培中學","Semple Memorial Secondary School","22.3843316, 113.977945",22.3843316,113.977945,"HO WING TUNG","pro-democracy",203,"PEOPLE POWER","LO MAN HON","pro-democracy",2361,"THE DEMOCRATIC PARTY","YIP MAN PAN","pro-establishment",1501,"DAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L03","Siu Tsui","兆翠","L0302","青松侯寶垣中學","Ching Chung Hau Po Woon Secondary School","22.3827083, 113.9724187",22.3827083,113.9724187,"HO WING TUNG","pro-democracy",53,"PEOPLE POWER","LO MAN HON","pro-democracy",515,"THE DEMOCRATIC PARTY","YIP MAN PAN","pro-establishment",241,"DAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L04","On Ting","安定","L0401","安定/友愛社區中心","On Ting/Yau Oi Community Centre","22.3874546, 113.9764708",22.3874546,113.9764708,"LEUNG CHI HO","pro-establishment",820,"DAB; FTU","KONG FUNG YI","pro-democracy",2003,"ADPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L04","On Ting","安定","L0402","聖公會青山聖彼得堂兆麟苑幼稚園","SKH St. Peter's Church Castle Peak Siu Lun Court Kindergarten","22.3841261, 113.9769005",22.3841261,113.9769005,"LEUNG CHI HO","pro-establishment",425,"DAB; FTU","KONG FUNG YI","pro-democracy",636,"ADPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L05","Yau Oi South","友愛南","L0501","順德聯誼總會譚伯羽中學","STFA Tam Pak Yu College","22.3874893, 113.9724888",22.3874893,113.9724888,"TSANG HIN HONG","pro-establishment",1967,"DAB","LAI KA LONG","pro-democracy",300,"POWER VOTES; PEOPLE POWER","CHEUNG YUET LAN","pro-democracy",1149,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L06","Yau Oi North","友愛北","L0601","伊斯蘭學校","Islamic Primary School","22.3887675, 113.9723346",22.3887675,113.9723346,"CHAN WAN SANG","pro-establishment",1542,"DAB","LAM LAP","pro-democracy",619,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L06","Yau Oi North","友愛北","L0602","仁濟醫院何式南小學","YCH Ho Sik Nam Primary School","22.3849924, 113.9717682",22.3849924,113.9717682,"CHAN WAN SANG","pro-establishment",243,"DAB","LAM LAP","pro-democracy",192,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L07","Tsui Hing","翠興","L0701","馬錦明慈善基金馬可賓紀念中學","Stewards MKMCF Ma Ko Pan Memorial College","22.4010359, 113.9739228",22.4010359,113.9739228,"CHU YIU WAH",NA,1895,NA,"NG SIU HONG","pro-democracy",1175,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L08","Shan King","山景","L0801","山景社區會堂","Shan King Community Hall","22.396309, 113.965504",22.396309,113.965504,"LEUNG MAN PUN",NA,781,NA,"NG KOON HUNG",NA,2373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L10","Hing Tsak","興澤","L1001","大興體育館","Tai Hing Sports Centre","22.4032655, 113.9732551",22.4032655,113.9732551,"TSUI FAN","pro-establishment",2513,"DAB","SETO CHUN PONG","pro-democracy",1040,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L11","San Hui","新墟","L1101","中華基督教會譚李麗芬紀念中學","CCC Tam Lee Lai Fun Memorial Secondary School","22.4030883, 113.9770054",22.4030883,113.9770054,"MA YUK MUI","pro-democracy",286,"THE DEMOCRATIC PARTY","KWU HON KEUNG","pro-establishment",443,"NEW TERRITORIES ASSOCIATION OF SOCIETIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L11","San Hui","新墟","L1102","井財街社區會堂","Tseng Choi Street Community Hall","22.4002024, 113.9774834",22.4002024,113.9774834,"MA YUK MUI","pro-democracy",394,"THE DEMOCRATIC PARTY","KWU HON KEUNG","pro-establishment",880,"NEW TERRITORIES ASSOCIATION OF SOCIETIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L12","Sam Shing","三聖","L1201","救世軍三聖邨劉伍英學校","The Salvation Army Sam Shing Chuen Lau Ng Ying School","22.381363, 113.978776",22.381363,113.978776,"YUNG SAI MING",NA,514,NA,"SO SHIU SHING","pro-establishment",950,"NEW TERRITORIES ASSOCIATION OF SOCIETIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L12","Sam Shing","三聖","L1202","海關訓練學校","Customs and Excise Training School","22.3632575, 114.0206073",22.3632575,114.0206073,"YUNG SAI MING",NA,331,NA,"SO SHIU SHING","pro-establishment",466,"NEW TERRITORIES ASSOCIATION OF SOCIETIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L13","Hanford","恆福","L1301","鐘聲慈善社胡陳金枝中學","Chung Sing Benevolent Society Mrs Aw Boon Haw Secondary School","22.3839447, 113.9784591",22.3839447,113.9784591,"KEUNG KAI PONG",NA,222,NA,"CHU SHUN NGA BEATRICE","pro-democracy",387,"THE DEMOCRATIC PARTY","LI KWAI FONG",NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L13","Hanford","恆福","L1302","入境事務學院","Immigration Service Institute of Training and Development","22.3760519, 113.9862186",22.3760519,113.9862186,"KEUNG KAI PONG",NA,148,NA,"CHU SHUN NGA BEATRICE","pro-democracy",457,"THE DEMOCRATIC PARTY","LI KWAI FONG",NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L13","Hanford","恆福","L1303","國際十字路會","Crossroads Foundation","22.3743439, 113.9924744",22.3743439,113.9924744,"KEUNG KAI PONG",NA,593,NA,"CHU SHUN NGA BEATRICE","pro-democracy",603,"THE DEMOCRATIC PARTY","LI KWAI FONG",NA,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Tuen Mun District","L14","Fu Sun","富新","L1401","新屯門中心社區中心","Community Centre of Sun Tuen Mun Centre","22.3812677, 113.9643338",22.3812677,113.9643338,"HO PUI HAN",NA,899,NA,"LUNG KANG SAN",NA,1016,NA,"LI SHUK CHING ELSA",NA,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
